C/A,UNIT,STATION,LINENAME,DIVISION
R327,R361,PELHAM PKWY,25,IRT
R328,R361,PELHAM PKWY,25,IRT
R329,R362,ALLERTON AV,25,IRT
R330,R363,BURKE AV,25,IRT
R331,R364,GUN HILL RD,25,IRT
R332,R365,219 ST,25,IRT
R333,R366,225 ST,25,IRT
R334,R367,233 ST,25,IRT
R335,R444,NEREID AV,25,IRT
R336,R145,WAKEFIELD/241,2,IRT
R401,R445,3 AV 138 ST,6,IRT
R402,R446,BROOK AV,6,IRT
R403,R446,BROOK AV,6,IRT
R404,R447,CYPRESS AV,6,IRT
R405,R447,CYPRESS AV,6,IRT
R406,R448,E 143/ST MARY'S,6,IRT
R407,R448,E 143/ST MARY'S,6,IRT
R408,R449,E 149 ST,6,IRT
R409,R449,E 149 ST,6,IRT
R410,R450,LONGWOOD AV,6,IRT
R411,R450,LONGWOOD AV,6,IRT
R412,R146,HUNTS POINT AV,6,IRT
R413,R325,WHITLOCK AV,6,IRT
R414,R162,ELDER AV,6,IRT
R415,R120,MORISN AV/SNDVW,6,IRT
R416,R245,ST LAWRENCE AV,6,IRT
R417,R222,PARKCHESTER,6,IRT
R418,R106,CASTLE HILL AV,6,IRT
R419,R326,ZEREGA AV,6,IRT
R420,R107,WESTCHESTER SQ,6,IRT
R421,R427,MIDDLETOWN RD,6,IRT
R422,R428,BUHRE AV,6,IRT
R423,R429,PELHAM BAY PARK,6,IRT
R501,R054,5 AVE,7BDFM,IRT
R503,R276,VERNON-JACKSON,7,IRT
R504,R276,VERNON-JACKSON,7,IRT
R506,R276,VERNON-JACKSON,7,IRT
R507,R134,HUNTERS PT AV,7,IRT
R508,R346,COURT SQ,7,IRT
R509,R121,QUEENSBORO PLZ,7NQW,IRT
R510,R090,39 AV,NQW,BMT
R511,R091,36 AV,NQW,BMT
R512,R092,BROADWAY,NQW,BMT
R513,R093,30 AV,NQW,BMT
R514,R094,ASTORIA BLVD,NQW,BMT
R515,R095,ASTORIA DITMARS,NQW,BMT
R516,R291,33 ST-RAWSON ST,7,IRT
R517,R291,33 ST-RAWSON ST,7,IRT
R518,R261,40 ST LOWERY ST,7,IRT
R519,R223,46 ST BLISS ST,7,IRT
R520,R223,46 ST BLISS ST,7,IRT
R521,R327,52 ST,7,IRT
R523,R147,61 ST WOODSIDE,7,IRT
R524,R347,69 ST,7,IRT
R525,R018,74 ST-BROADWAY,7EFMR,IRT
R526,R096,82 ST-JACKSON H,7,IRT
R527,R122,90 ST-ELMHURST,7,IRT
R528,R097,JUNCTION BLVD,7,IRT
R529,R208,103 ST-CORONA,7,IRT
R530,R310,111 ST,7,IRT
R532,R328,METS-WILLETS PT,7,IRT
R532H,R328,METS-WILLETS PT,7,IRT
R533,R055,FLUSHING-MAIN,7,IRT
R534,R055,FLUSHING-MAIN,7,IRT
R550,R072,34 ST-HUDSON YD,7,IRT
R551,R072,34 ST-HUDSON YD,7,IRT
R600,R224,CLARK ST,23,IRT
R601A,R108,BOROUGH HALL,2345R,IRT
R602,R108,BOROUGH HALL,2345R,IRT
R604,R108,BOROUGH HALL,2345R,IRT
R605,R456,HOYT ST,23,IRT
R606,R225,HOYT ST,23,IRT
R608,R056,NEVINS ST,2345,IRT
R609,R056,NEVINS ST,2345,IRT
R610,R057,ATL AV-BARCLAY,2345BDNQR,IRT
R612,R057,ATL AV-BARCLAY,BDNQR2345,IRT
R617,R058,BERGEN ST,23,IRT
R618,R058,BERGEN ST,23,IRT
R619,R059,GRAND ARMY PLAZ,23,IRT
R621,R060,EASTN PKWY-MUSM,23,IRT
R622,R123,FRANKLIN AV,2345S,IRT
R623,R061,NOSTRAND AV,3,IRT
R624,R124,KINGSTON AV,3,IRT
R625,R062,CROWN HTS-UTICA,34,IRT
R626,R062,CROWN HTS-UTICA,34,IRT
R627,R063,SUTTER AV-RUTLD,3,IRT
R628,R064,SARATOGA AV,3,IRT
R629,R065,ROCKAWAY AV,3,IRT
R630,R066,JUNIUS ST,3,IRT
R632,R067,PENNSYLVANIA AV,3,IRT
R633,R068,VAN SICLEN AV,3,IRT
R634,R069,NEW LOTS AV,3,IRT
R635,R277,PRESIDENT ST,25,IRT
R636,R209,STERLING ST,25,IRT
R637,R451,WINTHROP ST,25,IRT
R639,R109,CHURCH AV,25,IRT
R641,R210,BEVERLY RD,25,IRT
R643,R135,NEWKIRK AV,25,IRT
R644,R135,NEWKIRK AV,25,IRT
R645,R110,FLATBUSH AV-B.C,25,IRT
R646,R110,FLATBUSH AV-B.C,25,IRT
R647,R110,FLATBUSH AV-B.C,25,IRT
R726,R329,MORRIS PARK,5,IRT
R727,R430,PELHAM PKWY,5,IRT
R728,R226,GUN HILL RD,5,IRT
R729,R292,BAYCHESTER AV,5,IRT
R730,R431,EASTCHSTER/DYRE,5,IRT
S101,R070,ST. GEORGE,1,SRT
S101A,R070,ST. GEORGE,1,SRT
S102,R165,TOMPKINSVILLE,1,SRT
TRAM1,R468,RIT-MANHATTAN,R,RIT
TRAM2,R469,RIT-ROOSEVELT,R,RIT
