Station ID,Division,Line,Station,Boro,Booth,End,Direction,Location,Comment
156,IND,8AV,103rd St,M,N038,,Mez,,"Closed CA N038,N036, 2 closed street stairs per CA"
157,IND,8AV,96th St,M,N041,,Mez,,Closed CA N041
160,IND,8AV,72nd St,M,N046A,,Mez,,Closed CA N046A
162,IND,8AV,50th St,M,N052,,,,"two closed control areas per direction - 49th and 52nd n/b; 51St and 52nd s/b.  Closed CA N052-3 street stair closed, N053-2 street stair closed, N055-1 street stair closed,, N053-1 street stair closed"
162,IND,8AV,50th St,M,N053,,,,"two closed control areas per direction - 49th and 52nd n/b; 51St and 52nd s/b.  Closed CA N052-3 street stair closed, N053-2 street stair closed, N055-1 street stair closed,, N053-1 street stair closed"
162,IND,8AV,50th St,M,N054,,,,"two closed control areas per direction - 49th and 52nd n/b; 51St and 52nd s/b.  Closed CA N052-3 street stair closed, N053-2 street stair closed, N055-1 street stair closed,, N053-1 street stair closed"
162,IND,8AV,50th St,M,N055,,,,"two closed control areas per direction - 49th and 52nd n/b; 51St and 52nd s/b.  Closed CA N052-3 street stair closed, N053-2 street stair closed, N055-1 street stair closed,, N053-1 street stair closed"
166,IND,8AV,14th St,M,,,,,
167,IND,8AV,West 4th St,M,,,,,"4 closed or slabbed over street stairs to lower mezzanine, assumed minimum of 2 CA closures"
167,IND,8AV,West 4th St,M,,,,,"4 closed or slabbed over street stairs to lower mezzanine, assumed minimum of 2 CA closures"
167,IND,8AV,West 4th St,M,,,,,"4 closed or slabbed over street stairs to lower mezzanine, assumed minimum of 2 CA closures"
167,IND,8AV,West 4th St,M,,,,,"4 closed or slabbed over street stairs to lower mezzanine, assumed minimum of 2 CA closures"
168,IND,8AV,Spring St,M,N084,North,,,1 northern control area per platform closed - N84 and N85; northern underpass closed
168,IND,8AV,Spring St,M,N085,North,,,1 northern control area per platform closed - N84 and N85; northern underpass closed
175,IND,FUL,Hoyt Schermerhorn,BK,,West,,Hoyt St,"Hoyt St / west end control area closed-2 street stair closures, East Mezz has 3 street stair closures"
178,IND,FUL,Franklin Av,BK,N113A,West,N/B,Classon Ave,"1 closed control area per platform at west / Classon Ave end of station, 1 stair closure per CA"
178,IND,FUL,Franklin Av,BK,N114A,West,S/B,Classon Ave,"1 closed control area per platform at west / Classon Ave end of station, 1 stair closure per CA"
179,IND,FUL,Nostrand Av,BK,,,,,"2 Closed CA Unlabeled, 2 street stairs closed per closed CA"
179,IND,FUL,Nostrand Av,BK,,,,,"2 Closed CA Unlabeled, 2 street stairs closed per closed CA"
182,IND,FUL,Ralph Av,BK,N121C,East,,,eastern control area N121C closed
191,IND,LIB,88th St-Boyd Av,Q,,West,,,"western mezzanine is closed, stairs possibly removed"
193,IND,LIB,104th St-Oxford Av,Q,,,,,
198,IND,RKY,Howard Beach,Q,,,,,Bus terminal closed with associated passageway and CA
213,IND,BXC,Fordham Rd,BX,N219,,,,
214,IND,BXC,182nd-183rd Sts,BX,N215A,South,Mez,,southern CA N215A closed - 4 street stairs closed
214,IND,BXC,182nd-183rd Sts,BX,N216,North,Mez,,northern N216 control areas closed- 2 street stairs closed
216,IND,BXC,174-175th Sts,BX,N210,,S/B,,s/b N210 control area closed
216,IND,BXC,174-175th Sts,BX,N211,,Mez,175 St,lower mezz N211 at 175 St closed
220,IND,BXC,155th St,M,N201,West,Mez,,"western N201 listed as closed, no visible street access or fare array"
230,IND,6AV,Broadway-Lafayette St,M,,,Mez,,Mezz taken for employee space (3 closed street stairs)
230,IND,6AV,Broadway-Lafayette St,M,,North,Mez,,North mezz also closed (2 closed street stairs)
232,IND,6AV,2nd Av,M,N522,East,Mez,1st Ave,"eastern mezzane at 1st Ave closed, no street access"
233,IND,6AV,Delancey St,M,N524,North,Mez,Rivington,northern N524 at Rivington and southern N527 at Broome closed - 2 street stairs each
233,IND,6AV,Delancey St,M,N527,South,Mez,Broome,northern N524 at Rivington and southern N527 at Broome closed - 2 street stairs each
258,IND,QBL,Briarwood-Van Wyck Blvd,Q,----,,,,
268,IND,QBL,65th St,Q,,West,N/B,63 St,western control areas (63 St) on both platforms closed
268,IND,QBL,65th St,Q,,West,S/B,63 St,western control areas (63 St) on both platforms closed
269,IND,QBL,Northern Blvd,Q,,East,N/B,56 St,eastern control areas (56 St) on both platforms closed
269,IND,QBL,Northern Blvd,Q,,East,S/B,56 St,eastern control areas (56 St) on both platforms closed
277,IND,E53,7th Av,M,,East,Mez,6th/7th Avs,East Mezz (between 6th and 7th Aves) Closed
282,IND,BCT,21st St,Q,,,,,2 street stairs closed per closed CA; 2 Additional Plat Stairs removed
285,IND,BCT,Metropolitan Av,BK,N410,South,,,"Closed CA N410 w/4 closed street stairs, other 2 street stair closures at north end"
286,IND,BCT,Broadway,BK,N411,North,,,N411 at north end-includes passageway and 5 street stairs
286,IND,BCT,Broadway,BK,,,,,Possible auxilarly CA closed at SB plat
287,IND,BCT,Flushing Av,BK,,,,,
288,IND,BCT,Myrtle-Willoughby Avs,BK,N415A,,,,"Closed CA N416A, N415A"
288,IND,BCT,Myrtle-Willoughby Avs,BK,N416A,,,,"Closed CA N416A, N415A"
292,IND,BCT,Fulton St,BK,N422A,,,,N422A and N422B recently reopened
292,IND,BCT,Fulton St,BK,N422B,,,,N422A and N422B recently reopened
310,IRT,BW7,96th St,M,,,,,
310,IRT,BW7,96th St,M,,,,,
318,IRT,BW7,34th St,M,,,,,
341,IRT,EPK,Eastern Parkway-Brooklyn Museum,BK,R620,West,Mez,,"western mezzanine - 1 Plat Stair/Plat, Mezz level Stair Closed, Closed CA R620"
349,IRT,NLT,Junius St,BK,,,,,Shared landing - Plat Stairs; eastern Junius St mezzanine closed and street stairs removed
394,IRT,LEX,110th St,M,,,N/B,111 St,both platforms - 111 St control areas closed
394,IRT,LEX,110th St,M,,,S/B,111 St,both platforms - 111 St control areas closed
402,IRT,LEX,Grand Central-42nd St,M,R234,,Mez,,"Easement closed to Mobil, Pershing, Lincoln buildings, Mezz D Closed, passageway to GCT "
412,IRT,LEX,Fulton St,M,R206N,,,,R206N/Southside of 195 Broadway Easement closed
449,IRT,FLS,111th St,Q,R531,West,Mez,,western R531 mezzanine closed
468,IRT,42S,Times Square,M,,,,,"42S ONLY plus mezz, 1 closed CA with 1 closed street stair"
