booth,remote,station,line_name,division,station_id,station_id_2,station_id_3,station_name,complex_id,complex_name,prior_remotes,prior_station_names,poe_loc,omny_id,booth_status,tracked_as,location
A027,R082,28 ST,NRW,BMT,13,,,28 St,13,,,28 ST-BROADWAY,1509,680,,,N/B W 28th St
A028,R082,28 ST,NRW,BMT,13,,,28 St,13,,,,,,Closed,,S/B W 29th St
A029,R082,28 ST,NRW,BMT,13,,,28 St,13,,,28 ST-BROADWAY,1510,681,,,S/B W 28th St
A030,R083,23 ST,NRW,BMT,14,,,23 St,14,,,23 ST-5 AVE,1511,682,,,N/B E 23rd St
A031,R083,23 ST,NRW,BMT,14,,,23 St,14,,,23 ST-5 AVE,1512,683,,,S/B E 23rd St
A033,R170,14 ST-UNION SQ,LNQR456W,BMT,15,,,14 St-Union Sq,602,14 St - Union Sq,,,,47,,,E 16th St
A034,R170,14 ST-UNION SQ,LNQR456W,BMT,15,,,14 St-Union Sq,602,14 St - Union Sq,,,,,,,E 14th-15th Sts W/S
A035,R170,14 ST-UNION SQ,LNQR456W,BMT,117,406,,14 St-Union Sq,602,14 St - Union Sq,,,,,,,E 15th St
A036,R170,14 ST-UNION SQ,LNQR456W,BMT,117,,,14 St-Union Sq,602,14 St - Union Sq,,,,,,A034,E 15th St E/S
A037,R170,14 ST-UNION SQ,LNQR456W,BMT,117,,,14 St-Union Sq,602,14 St - Union Sq,,,1417,50,,,E 14th St S/S
A038,R085,8 ST-NYU,NRW,BMT,16,,,8 St-NYU,16,,,"8 ST-BROADWAY,8 ST-B'WAY NYU",,686,,,N/B E 8th St
A039,R085,8 ST-NYU,NRW,BMT,16,,,8 St-NYU,16,,,"8 ST-BROADWAY,8 ST-B'WAY NYU",,,,,S/B E 8th St
A040,R085,8 ST-NYU,NRW,BMT,16,,,8 St-NYU,16,,,,,,,A039,S/B Waverly Pl
A041,R086,PRINCE ST,NRW,BMT,17,,,Prince St,17,,,PRINCE ST-B'WAY,,,,,N/B Prince St
A042,R086,PRINCE ST,NRW,BMT,17,,,Prince St,17,,,PRINCE ST-B'WAY,,,,,S/B Prince St
A043,R462,CANAL ST,JNQRZ6W,BMT,18,19,,Canal St,623,Canal St,,,1522,6,,,N/B Canal St
A044,R462,CANAL ST,JNQRZ6W,BMT,18,,,Canal St,623,Canal St,,,,,,A043,S/B Canal St
A046,R463,CANAL ST,JNQRZ6W,BMT,19,410,,Canal St,623,Canal St,,,1524,7,,,Lafayette St E/S
A047,R087,CITY HALL,RNW,BMT,20,,,City Hall,20,,,MURRAY ST-B'WAY,,,,,Murray St
A049,R088,CORTLANDT ST,RNW,BMT,21,,,Cortlandt St,624,Chambers St / WTC / Park Place / Cortlandt St,,,,573,,,Dey St
A050,R088,CORTLANDT ST,RNW,BMT,21,,,Cortlandt St,624,Chambers St / WTC / Park Place / Cortlandt St,,,,,,,N/B Dey St
A051,R088,CORTLANDT ST,RNW,BMT,21,,,Cortlandt St,624,Chambers St / WTC / Park Place / Cortlandt St,,,,,Closed,,N/B Cortlandt St
A052,R088,CORTLANDT ST,RNW,BMT,21,,,Cortlandt St,624,Chambers St / WTC / Park Place / Cortlandt St,,,,,,,S/B Dey St
A053,R088,CORTLANDT ST,RNW,BMT,21,,,Cortlandt St,624,Chambers St / WTC / Park Place / Cortlandt St,,,,,,,S/B Cortlandt St
A054,R227,RECTOR ST,NRW,BMT,22,,,Rector St,22,,,,,,,,N/B Rector St
A055,R227,RECTOR ST,NRW,BMT,22,,,Rector St,22,,,,,,,,S/B Rector St
A058,R001,WHITEHALL S-FRY,R1W,BMT,23,,,Whitehall St-South Ferry,635,South Ferry / Whitehall,,"WHITEHALL,WHITEHALL ST",,,,,Stone St
A060,R001,WHITEHALL S-FRY,R1W,BMT,23,,,Whitehall St-South Ferry,635,South Ferry / Whitehall,,"WHITEHALL,WHITEHALL ST",,,,,State St
A061,R142,DELANCEY/ESSEX,FJMZ,BMT,102,,,Delancey St-Essex St,625,Delancey St / Essex St,,ESSEX ST,,,,,S/B Norfolk St
A064,R311,BOWERY,JZ,BMT,103,,,Bowery,103,,,,,,,,Bowery E/S
A065,R311,BOWERY,JZ,BMT,103,,,Bowery,103,,,,,,Closed,,Bowery W/S
A066,R118,CANAL ST,JNQRZ6W,BMT,104,19,,Canal St,623,Canal St,,,1534,,,,Canal St SW cnr
A068,R118,CANAL ST,JNQRZ6W,BMT,104,,,Canal St,623,Canal St,,,,,Closed,,N/B Canal St
A069,R044,CHAMBERS ST,JZ456,BMT,105,,,Chambers St,622,Brooklyn Bridge-City Hall / Chambers St,,CHAMBERS STREET,,55,,,Chambers St
A071,R044,CHAMBERS ST,JZ456,BMT,105,,,Chambers St,622,Brooklyn Bridge-City Hall / Chambers St,,CHAMBERS STREET,,56,,,Duane St
A076,R028,FULTON ST,ACJZ2345,BMT,106,,,Fulton St,628,Fulton St,,,,,Closed,,Ann St
A077,R028,FULTON ST,ACJZ2345,BMT,106,172,,Fulton St,628,Fulton St,R002,FULTON STREET,,,,,N/B Fulton St
A078,R028,FULTON ST,ACJZ2345,BMT,106,,,Fulton St,628,Fulton St,,,,,Closed,,N/B John St
A079,R028,FULTON ST,ACJZ2345,BMT,106,,,Fulton St,628,Fulton St,,,,,Closed,,N/B Beekman St
A081,R028,FULTON ST,ACJZ2345,BMT,106,172,,Fulton St,628,Fulton St,R002,FULTON STREET,2108,,,,S/B Fulton St
A082,R028,FULTON ST,ACJZ2345,BMT,106,,,Fulton St,628,Fulton St,R002,FULTON STREET,,,,,S/B John St
A083,R125,BROAD ST,JZ,BMT,107,,,Broad St,107,,,,,,,,Wall St
A084,R125,BROAD ST,JZ,BMT,107,,,Broad St,107,,,,,,,,N/B Exchange Pl
A085,R125,BROAD ST,JZ,BMT,107,,,Broad St,107,,,,,,,,S/B Exchange Pl
B001,R057,ATLANTIC AVE,BDNQR2345,BMT,40,,,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,,,,,,R610,Hansen Pl
B002,R057,ATLANTIC AVE,BDNQR2345,BMT,40,,,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,,,,,,R610,Atlantic Terminal
B004,R171,7 AV,BQ,BMT,41,,,7 Av,41,,,7 AVE,,919,,,"Park Pl, Carlton Ave"
B005,R171,7 AV,BQ,BMT,41,,,7 Av,41,,,,,,Closed,,Sterling Pl
B008, ,DEAN ST,S,BMT,140,,,Dean St,140,,,,,,Closed,,Dean St
B009,R411,PARK PLACE,S,BMT,141,,,Park Pl,141,,,PARK PL,1542,,,,Park Pl
B010,R412,BOTANIC GARDEN,S2345,BMT,142,,,Botanic Garden,626,Franklin Av-Medgar Evers College / Botanic Garden,,,,,,,Eastern Pkwy
B011,R412,BOTANIC GARDEN,S2345,BMT,142,,,Botanic Garden,626,Franklin Av-Medgar Evers College / Botanic Garden,,,,,Closed,,President St
B012,R196,PROSPECT PARK,BQS,BMT,42,,,Prospect Park,42,,,,,,,,"Empire Blvd, Ocean Ave"
B013,R196,PROSPECT PARK,BQS,BMT,42,,,Prospect Park,42,,,,,921,,,Lincoln Rd
B014,R148,PARKSIDE AV,BQ,BMT,43,,,Parkside Av,43,,,PARKSIDE AVE,1546,,,,Parkside Ave
B015,R098,CHURCH AV,BQ,BMT,44,,,Church Av,44,,,CHURCH AVE,,,,,Caton Ave
B016,R098,CHURCH AV,BQ,BMT,44,,,Church Av,44,,,CHURCH AVE,,,,,Church Ave
B017,R262,BEVERLEY ROAD,BQ,BMT,45,,,Beverley Rd,45,,,BEVERLEY RD,,,,,Beverley Rd
B018,R184,CORTELYOU RD,BQ,BMT,46,,,Cortelyou Rd,46,,,CORTELYOU ROAD,,,,,Cortelyou Rd
B019,R149,NEWKIRK PLAZA,BQ,BMT,47,,,Newkirk Plaza,47,,,"NEWKIRK AV,NEWKIRK AVE",,,,,Newkirk Plaza
B020,R263,AVENUE H,BQ,BMT,48,,,Avenue H,48,,,AVE H,,,,,Avenue H
B021,R228,AVENUE J,BQ,BMT,49,,,Avenue J,49,,,"AV J,AVE J",,,,,Avenue J
B022,R229,AVENUE M,BQ,BMT,50,,,Avenue M,50,,,"AV M,AVE M",,,,,Avenue M
B023,R211,KINGS HWY,BQ,BMT,51,,,Kings Hwy,51,,,KINGS HIGHWAY,,,,,Kings Hwy N/S
B024,R211,KINGS HWY,BQ,BMT,51,,,Kings Hwy,51,,,KINGS HIGHWAY,,,,,Kings Hwy S/S
B024A,R211,KINGS HWY,BQ,BMT,51,,,Kings Hwy,51,,,KINGS HIGHWAY,,,,,Quentin Rd
B025,R150,AVENUE U,BQ,BMT,52,,,Avenue U,52,,,"AV U,AVE U",,,,,Avenue U
B026,R230,NECK RD,BQ,BMT,53,,,Neck Rd,53,,,NECK ROAD,,,,,Neck Rd
B027,R136,SHEEPSHEAD BAY,BQ,BMT,54,,,Sheepshead Bay,54,,,,,,,,Sheepshead Bay Rd
B028,R136,SHEEPSHEAD BAY,BQ,BMT,54,,,Sheepshead Bay,54,,,,,,,,"Voorhies Ave, Shore Pkwy"
B029,R172,BRIGHTON BEACH,BQ,BMT,55,,,Brighton Beach,55,,,,,,,,Brighton 7th St
B031,R172,BRIGHTON BEACH,BQ,BMT,55,,,Brighton Beach,55,,,,,,,,Brighton 5th St
B032,R264,OCEAN PKWY,Q,BMT,56,,,Ocean Pkwy,56,,,OCEAN PARKWAY,,,,,Ocean Pkwy
B034,R264,OCEAN PKWY,Q,BMT,56,,,Ocean Pkwy,56,,,OCEAN PARKWAY,,,,,W 1st St
C001,R108,BOROUGH HALL,R2345,BMT,24,,,Court St,620,Borough Hall / Court St,,BOROUGH HALL/CT,,15,Closed,,Clinton St
C003,R089,JAY ST-METROTEC,R,BMT,25,,,Jay St-MetroTech,636,Jay St - MetroTech,,LAWRENCE ST,,,,,Lawrence St
C004,R089,JAY ST-METROTEC,R,BMT,25,,,Jay St-MetroTech,636,Jay St - MetroTech,,LAWRENCE ST,,,,,Bridge St
C006,R099,DEKALB AV,BDNQR,BMT,26,,,DeKalb Av,26,,,,,,,C008,Fleet St
C008,R099,DEKALB AV,BDNQR,BMT,26,,,DeKalb Av,26,,,DEKALB AVE,1570,,,,DeKalb Ave
C009,R057,ATL AV-BARCLAY,BDNQR2345,BMT,27,,,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,,"BARCLAYS CENTER,PACIFIC ST",2112,9,,,Pacific St
C010,R231,UNION ST,R,BMT,28,,,Union St,28,,,,,,,,N/B Union St
C011,R231,UNION ST,R,BMT,28,,,Union St,28,,,,1572,1090,,,S/B Union St
C012,R258,4AV-9 ST,DFGMNR,BMT,29,,,4 Av-9 St,608,4 Av - 9 St,,9 ST,,,,,N/B 9th St
C013,R258,4AV-9 ST,DFGMNR,BMT,29,,,4 Av-9 St,608,4 Av - 9 St,,9 ST,,,,C012,S/B 9th St
C014,R246,PROSPECT AV,R,BMT,30,,,Prospect Av,30,,,PROSPECT AVE,,,,,N/B Prospect Ave
C015,R246,PROSPECT AV,R,BMT,30,,,Prospect Av,30,,R454,PROSPECT AVE,,,,,S/B Prospect Ave
C016,R278,25 ST,R,BMT,31,,,25 St,31,,,,,,,,N/B 25th St
C017,R455,25 ST,R,BMT,31,,,25 St,31,,,,,,,,S/B 25th St
C018,R197,36 ST,DNR,BMT,32,,,36 St,32,,,,,,,,36th St
C019,R232,45 ST,R,BMT,33,,,45 St,33,,,,,,,,45th St
C020,R233,53 ST,R,BMT,34,,,53 St,34,,,,,,,,53rd St
C021,R212,59 ST,NRW,BMT,35,,,59 St,35,,,,,,,,59th St
C022,R212,59 ST,NRW,BMT,35,,,59 St,35,,,,,,,,60th St
C023,R213,BAY RIDGE AV,R,BMT,36,,,Bay Ridge Av,36,,,BAY RIDGE AVE,,,,,Bay Ridge Ave
C024,R214,77 ST,R,BMT,37,,,77 St,37,,,,,,,,77th St
C025,R215,86 ST,R,BMT,38,,,86 St,38,,,,,,,,86th St
C026,R215,86 ST,R,BMT,38,,,86 St,38,,,,,,,,85th St
C027,R216,BAY RIDGE-95 ST,R,BMT,39,,,Bay Ridge-95 St,39,,,"BAY RIDGE AV,BAY RIDGE-95 ST",,,,,95th St
C028,R216,BAY RIDGE-95 ST,R,BMT,39,,,Bay Ridge-95 St,39,,,"BAY RIDGE AV,BAY RIDGE-95 ST",,,,,93rd St
D001,R390,8 AV,N,BMT,71,,,8 Av,71,,,,,,,,7th Ave
D002,R390,8 AV,N,BMT,71,,,8 Av,71,,,8 AVE,,,,,8th Ave
D003,R391,FT HAMILTON PKY,N,BMT,72,,,Fort Hamilton Pkwy,72,,,,,,,,Fort Hamilton Pkwy
D004,R391,FT HAMILTON PKY,N,BMT,72,,,Fort Hamilton Pkwy,72,,,,,,,,11th Ave
D005,R398,NEW UTRECHT AV,ND,BMT,73,63,,New Utrecht Av,615,62 St / New Utrecht Av,,NEW UTRECHT AVE,,,,,New Utrecht Ave
D006,R398,NEW UTRECHT AV,ND,BMT,73,,,New Utrecht Av,615,62 St / New Utrecht Av,,NEW UTRECHT AVE,,,,,15th Ave
D007,R392,18 AV,N,BMT,74,,,18 Av,74,,,,,,,D008,17th Ave
D008,R392,18 AV,N,BMT,74,,,18 Av,74,,,18 AVE,,,,,18th Ave
D009,R393,20 AV,N,BMT,75,,,20 Av,75,,,20 AVE,,,,,20th Ave
D010,R394,BAY PKWY,N,BMT,76,,,Bay Pkwy,76,,,"BAY PKY-22 AV,BAY PKY-22 AVE",,,,,Bay Pkwy
D011,R394,BAY PKWY,N,BMT,76,,,Bay Pkwy,76,,,"BAY PKY-22 AV,BAY PKY-22 AVE",,,,,Avenue O
D012,R395,KINGS HWY,N,BMT,77,,,Kings Hwy,77,,,KINGS HIGHWAY,,,,,Kings Highway
D013,R395,KINGS HWY,N,BMT,77,,,Kings Hwy,77,,,,,,,D012,Highlawn Ave
D014,R396,AVENUE U,N,BMT,78,,,Avenue U,78,,,,,,,D015,Avenue T
D015,R396,AVENUE U,N,BMT,78,,,Avenue U,78,,,"AV U,AVE U",,,,,Avenue U
D016,R397,86 ST,N,BMT,79,,,86 St,79,,,,,,,,86th St
E001,R368,9 AV,D,BMT,59,,,9 Av,59,,,9 AVE,,,,,9th Ave
E003,R369,FT HAMILTON PKY,D,BMT,60,,,Fort Hamilton Pkwy,60,,,,,,,,"45th St, Fort Hamilton Pkwy"
E004,R234,50 ST,D,BMT,61,,,50 St,61,,,,,,,,50th St
E005,R247,55 ST,D,BMT,62,,,55 St,62,,,,,,,,55th St
E006,R398,62 ST,ND,BMT,63,,,62 St,615,62 St / New Utrecht Av,,,,,,D005,60th St
E008,R370,71 ST,D,BMT,64,,,71 St,64,,,,,,,E009,69th St
E009,R370,71 ST,D,BMT,64,,,71 St,64,,,,,,,,71st St
E010,R371,79 ST,D,BMT,65,,,79 St,65,,,,,,,E011,77th St
E011,R371,79 ST,D,BMT,65,,,79 St,65,,,,,,,,79th St
E012,R372,18 AV,D,BMT,66,,,18 Av,66,,,18 AVE,,,,,18th Ave
E013,R373,20 AV,D,BMT,67,,,20 Av,67,,,20 AVE,,,,,20th Ave
E014,R374,BAY PKWY,D,BMT,68,,,Bay Pkwy,68,,,"BAY PKY,BAY PARKWAY",,,,,Bay Pkwy
E015,R399,25 AV,D,BMT,69,,,25 Av,69,,,25 AVE,,,,,25th Ave
E016,R400,BAY 50 ST,D,BMT,70,,,Bay 50 St,70,,,,,,,,Bay 50th St
G001,R151,CONEY IS-STILLW,DFNQ,BMT,58,,,Coney Island-Stillwell Av,58,,,"STILLWELL AV,STILLWELL AVE",,,,,Surf Ave
G009,R151,CONEY IS-STILLW,DFNQ,BMT,58,,,Coney Island-Stillwell Av,58,,,"STILLWELL AV,STILLWELL AVE",,,,,Mermaid Ave
G011,R312,W 8 ST-AQUARIUM,FQ,BMT,57,,,W 8 St-NY Aquarium,57,,,,,,,,W 8th St
G015,R312,W 8 ST-AQUARIUM,FQ,BMT,57,,,W 8 St-NY Aquarium,57,,,,,,,,W 6th St
H001,R175,8 AV,ACEL,BMT,115,166,,8 Av,618,14 St / 8 Av,,8 AVE,1617,551,,,8th Ave
H002,R163,6 AV,FLM123,BMT,116,,,6 Av,601,14 St / 6 Av,,,,,Closed,,6th Ave W/S
H003,R163,6 AV,FLM123,BMT,116,,,6 Av,601,14 St / 6 Av,,6 AVE,,,,,6th Ave E/S
H005,R330,3 AV,L,BMT,118,,,3 Av,118,,,3 AVE,,,,,N/B 3rd Ave
H006,R330,3 AV,L,BMT,118,,,3 Av,118,,,3 AVE,,,,,S/B 3rd Ave
H007,R248,1 AV,L,BMT,119,,,1 Av,119,,,1 AVE,,,,,N/B 1st Ave
H007A,R248,1 AV,L,BMT,119,,,1 Av,119,,,,,,,,N/B Avenue A
H008,R248,1 AV,L,BMT,119,,,1 Av,119,,,1 AVE,,,,,S/B 1st Ave
H008A,R248,1 AV,L,BMT,119,,,1 Av,119,,,,,,,H007A,S/B Avenue A
H009,R235,BEDFORD AV,L,BMT,120,,,Bedford Av,120,,,BEDFORD AVE,,842,,,Bedford Ave
H010,R235,BEDFORD AV,L,BMT,120,,,Bedford Av,120,,,,,,,,Driggs Ave
H011,R268,LORIMER ST,LG,BMT,121,,,Lorimer St,629,Metropolitan Av / Lorimer St,,,,,,N409,N/B Union Ave
H012,R268,LORIMER ST,LG,BMT,121,,,Lorimer St,629,Metropolitan Av / Lorimer St,,,,,,,Lorimer St
H013,R249,GRAHAM AV,L,BMT,122,,,Graham Av,122,,,GRAHAM AVE,,,,,N/B Graham Ave
H014,R249,GRAHAM AV,L,BMT,122,,,Graham Av,122,,,GRAHAM AVE,,,,,S/B Graham Ave
H015,R250,GRAND ST,L,BMT,123,,,Grand St,123,,,,,,,,N/B Grand St
H016,R250,GRAND ST,L,BMT,123,,,Grand St,123,,,,,,,,S/B Grand St
H017,R265,MONTROSE AV,L,BMT,124,,,Montrose Av,124,,,MONTROSE AVE,,,,,Montrose Ave
H018,R294,MORGAN AV,L,BMT,125,,,Morgan Av,125,,,,,,,H019,Bogart St
H019,R294,MORGAN AV,L,BMT,125,,,Morgan Av,125,,,MORGAN AVE,,854,,,Morgan Ave
H020,R279,JEFFERSON ST,L,BMT,126,,,Jefferson St,126,,,,,,,H022,N/B Jefferson St
H021,R279,JEFFERSON ST,L,BMT,126,,,Jefferson St,126,,,,,,,H022,S/B Jefferson St
H022,R279,JEFFERSON ST,L,BMT,126,,,Jefferson St,126,,,,,,,,Starr St
H023,R236,DEKALB AV,L,BMT,127,,,DeKalb Av,127,,,DEKALB AVE,,,,,DeKalb Ave
H024,R236,DEKALB AV,L,BMT,127,,,DeKalb Av,127,,,,,,,H023,N/B Stanhope St
H025,R236,DEKALB AV,L,BMT,127,,,DeKalb Av,127,,,,,,,H023,S/B Stanhope St
H026,R137,MYRTLE-WYCKOFF,LM,BMT,112,128,,Myrtle-Wyckoff Avs,630,Myrtle - Wyckoff Avs,,"MYRTLE AV,MYRTLE AVE",,,,,Myrtle Ave
H027,R137,MYRTLE-WYCKOFF,LM,BMT,128,112,,Myrtle-Wyckoff Avs,630,Myrtle - Wyckoff Avs,,"MYRTLE AV,MYRTLE AVE",,,,,Palmetto St
H028,R266,HALSEY ST,L,BMT,129,,,Halsey St,129,,,,,,,,N/B George St
H029,R266,HALSEY ST,L,BMT,129,,,Halsey St,129,,,,,,,H028,N/B Norman St
H030,R266,HALSEY ST,L,BMT,129,,,Halsey St,129,,,,,,,,S/B Halsey St
H031,R266,HALSEY ST,L,BMT,129,,,Halsey St,129,,,,,,,H030,S/B Covert St
H032,R295,WILSON AV,L,BMT,130,,,Wilson Av,130,,,WILSON AVE,,,,,Wilson St
H033,R313,BUSHWICK AV,L,BMT,131,,,Bushwick Av-Aberdeen St,131,,,BUSHWICK AVE,,,,,"Bushwick Ave, Aberdeen St"
H035,R348,ATLANTIC AV,L,BMT,133,,,Atlantic Av,133,,,ATLANTIC AVE,,,,,E New York Ave
H036,R349,SUTTER AV,L,BMT,134,,,Sutter Av,134,,,,,,Closed,,Belmont Ave
H037,R349,SUTTER AV,L,BMT,134,,,Sutter Av,134,,,SUTTER AVE,,,,,Sutter Ave
H038,R350,LIVONIA AV,L,BMT,135,,,Livonia Av,135,,,LIVONIA AVE,,,,,Livonia Ave
H039,R375,NEW LOTS,L,BMT,136,,,New Lots Av,136,,,"NEW LOTS AV,NEW LOTS AVE",,,,,New Lots Ave
H040,R376,EAST 105 ST,L,BMT,137,,,East 105 St,137,,,,,,,,E 105th St
H041,R152,CANARSIE-ROCKAW,L,BMT,138,,,Canarsie-Rockaway Pkwy,138,,,ROCKAWAY PKY,,,,,Rockaway Pkwy
J001,R460,MARCY AV,JMZ,BMT,101,,,Marcy Av,101,,,MARCY AVE,,,,,S/B Marcy Ave
J002,R460,MARCY AV,JMZ,BMT,101,,,Marcy Av,101,,,MARCY AVE,,,,,N/B Marcy Ave
J003,R352,HEWES ST,JM,BMT,100,,,Hewes St,100,,,,,,,,Hooper St
J004,R352,HEWES ST,JM,BMT,100,,,Hewes St,100,,,,,,,J003,Hewes St
J005,R353,LORIMER ST,JM,BMT,99,,,Lorimer St,99,,,,,,,,Lorimer St
J007,R377,FLUSHING AV,JM,BMT,98,,,Flushing Av,98,,,FLUSHING AVE,,,,,Flushing Ave
J008,R377,FLUSHING AV,JM,BMT,98,,,Flushing Av,98,,,,,,,J007,Ellery St
J009,R378,MYRTLE AV,JMZ,BMT,97,,,Myrtle Av,97,,,MYRTLE AVE,,,,,Myrtle Ave
J010,R378,MYRTLE AV,JMZ,BMT,97,,,Myrtle Av,97,,,,,,Closed,,Jefferson St
J011,R379,KOSCIUSZKO ST,J,BMT,96,,,Kosciuszko St,96,,,,,,Closed,,DeKalb Ave
J012,R379,KOSCIUSZKO ST,J,BMT,96,,,Kosciuszko St,96,,,KOSCIUSKO ST,,,,,Lafayette Ave
J013,R380,GATES AV,JZ,BMT,95,,,Gates Av,95,,,GATES AVE,,,,,Quincy St
J014,R380,GATES AV,JZ,BMT,95,,,Gates Av,95,,,,,,Closed,,Gates Ave
J015,R381,HALSEY ST,J,BMT,94,,,Halsey St,94,,,,,,Closed,,Hancock St
J016,R381,HALSEY ST,J,BMT,94,,,Halsey St,94,,,,,,,,Halsey St
J017,R432,CHAUNCEY ST,JZ,BMT,93,,,Chauncey St,93,,,,,,,,Rockaway Ave
J018,R432,CHAUNCEY ST,JZ,BMT,93,,,Chauncey St,93,,,,,,Closed,,Chauncey St
J019,R103,BROADWAY JCT,ACJLZ,BMT,92,,,Broadway Junction,621,Broadway Junction,,,,,Closed,,Eastern Pkwy
J020,R433,ALABAMA AV,J,BMT,91,,,Alabama Av,91,,,ALABAMA AVE,,,,,Alabama Ave
J021,R434,VAN SICLEN AV,JZ,BMT,90,,,Van Siclen Av,90,,,VAN SICLEN AVE,,,,,Van Siclen Ave
J022,R435,CLEVELAND ST,J,BMT,89,,,Cleveland St,89,,,,,,,,Cleveland St
J023,R436,NORWOOD AV,JZ,BMT,88,,,Norwood Av,88,,,NORWOOD AVE,,,,,Norwood Ave
J024,R437,CRESCENT ST,JZ,BMT,87,,,Crescent St,87,,,,,,,,Crescent St
J025,R003,CYPRESS HILLS,J,BMT,86,,,Cypress Hills,86,,,CYPRESS  HILLS,,,,,Hemlock St
J026,R003,CYPRESS HILLS,J,BMT,86,,,Cypress Hills,86,,,,,,Exit-only,J025,Autumn Ave
J027,R004,75 ST-ELDERTS,JZ,BMT,85,,,75 St-Elderts Ln,85,,,,,,Closed,,Elderts Ln
J028,R004,75 ST-ELDERTS,JZ,BMT,85,,,75 St-Elderts Ln,85,,,ELDERTS LANE,,,,,75th St
J029,R005,85 ST-FOREST PK,J,BMT,84,,,85 St-Forest Pkwy,84,,,,,,Closed,,Forest Pkwy
J030,R005,85 ST-FOREST PK,J,BMT,84,,,85 St-Forest Pkwy,84,,,FOREST PARKWAY,,,,,85th St
J031,R006,WOODHAVEN BLVD,JZ,BMT,83,,,Woodhaven Blvd,83,,,,,,,,Woodhaven Blvd
J032,R006,WOODHAVEN BLVD,JZ,BMT,83,,,Woodhaven Blvd,83,,,,,,,,85th St
J033,R007,104 ST,JZ,BMT,82,,,104 St,82,,,,,,Closed,,102nd St
J034,R007,104 ST,JZ,BMT,82,,,104 St,82,,,104 STREET,,,,,104th St
J035,R008,111 ST,J,BMT,81,,,111 St,81,,,,,,,,111th St
J036,R008,111 ST,J,BMT,81,,,111 St,81,,,,,,Closed,,113th St
J037,R009,121 ST,JZ,BMT,80,,,121 St,80,,,,,,,,121st St
J038,R009,121 ST,JZ,BMT,80,,,121 St,80,,,,,,,J037,123rd St
K017,R401,CENTRAL AV,M,BMT,114,,,Central Av,114,,,CENTRAL AVE,,,,,Cedar St
K019,R413,KNICKERBOCKER,M,BMT,113,,,Knickerbocker Av,113,,,,,,,,Greene Ave
K022,R402,SENECA AVE,M,BMT,111,,,Seneca Av,111,,,SENECA AV,,,,,Seneca Ave
K023,R403,FOREST AVE,M,BMT,110,,,Forest Av,110,,,,,,Closed,,Woodward Ave
